document_name,article_number,livre,titre,chapitre,section,sous_section,pages,content,source_relative_path
dahir_1-00-175__loi15-95,1,,Titre Premier : Dispositions Générales,Chapitre Premier : Champ d'application,,,1,": Le recouvrement s'entend de l'ensemble des actions et opérations entreprises pour obtenir des redevables envers l'Etat, les collectivités locales et leurs groupements et les établissements publics, le règlement des créances mises à leur charge par les lois et règlements en vigueur ou résultant de jugements et arrêts ou de conventions.",pdfs/dahir_1-00-175__loi15-95.pdf
dahir_1-00-175__loi15-95,2,,Titre Premier : Dispositions Générales,Chapitre Premier : Champ d'application,,,1-2,": (modifié par l'article 25 de la loi de finances n° 26-04 pour l'année budgétaire 2005 promulguée par le dahir n° 1-04-255 du 29 décembre 2004 ; B.O. n° 5278 bis du 30 décembre 2004) Sont considérées comme créances publiques aux termes de la présente loi : - les impôts directs et taxes assimilées de l'Etat ainsi que la taxe sur la valeur ajoutée, désignés dans la suite de la présente loi "" impôts et taxes "" ; - les droits et taxes de douane ; - les droits d'enregistrement et de timbre et taxes assimilées ; - les produits et revenus domaniaux ; - le produit des exploitations et des participations financières de l'Etat ; - les amendes et condamnations pécuniaires ; - les impôts et taxes des collectivités locales et de leurs groupements ; - et toutes autres créances de l'Etat, des collectivités locales et des établissements publics dont la perception est confiée aux comptables chargés du recouvrement, à l'exclusion toutefois des créances de nature commerciale dues aux établissements publics.",pdfs/dahir_1-00-175__loi15-95.pdf
dahir_1-00-175__loi15-95,3,,Titre Premier : Dispositions Générales,Chapitre II : Des comptables chargés du recouvrement,,,2,": (modifié, L. fin n° 48-03 promulguée par D. n° 1-03-308 du 31 décembre 2003 - 7 kaada 1424 ; B.O. du 1er janvier 2004, article 13bis, article 25 de la loi de finances n° 26-04 pour l'année budgétaire 2005 promulguée par le dahir n° 1-04-255 du 29 décembre 2004 ; B.O. n° 5278 bis du 30 décembre 2004, modifié à compter du 1er janvier 2008 par l'article 12 de la loi de finances n° 38-07 pour l'année budgétaire 2008 promulguée par le dahir n° 1-07-211 du 27 décembre 2007 ; B.O. n° 5591 bis du 31 décembre 2007). Sont chargés du recouvrement des créances publiques les comptables ci-après : - le trésorier général du Royaume ; - le trésorier principal ; - le payeur principal des rémunérations ; - Les trésoriers ministériels ; - les trésoriers préfectoraux et provinciaux ; - les trésoriers communaux, les percepteurs et les receveurs communaux ; - les receveurs des douanes et impôts indirects ; - les receveurs de l'administration fiscale ; - les secrétaires greffiers des juridictions du Royaume ; - les receveurs de l'enregistrement ; - les secrétaires-greffiers des juridictions du Royaume pour les amendes et condamnations pécuniaires, frais de justice et la taxe judiciaire ; - les agents comptables des établissements publics pour les créances desdits établissements, lorsque l'application des dispositions de la présente loi est expressément prévue par leur texte de création.",pdfs/dahir_1-00-175__loi15-95.pdf
dahir_1-00-175__loi15-95,4,,Titre Premier : Dispositions Générales,Chapitre III : Des modes de recouvrement,,,2-3,": Les créances publiques sont perçues : - par versement spontané pour les droits au comptant ; - au vu de déclarations des redevables pour les impôts déclaratifs ; - en vertu d'ordres de recette individuels ou collectifs régulièrement émis par les ordonnateurs compétents. Les ordres de recette collectifs sont émis sous forme de : - rôles ou états de produits pour les impôts et taxes ; - sommiers de surveillance pour les produits et revenus domaniaux. Les ordres de recettes individuels sont émis sous forme de : - rôles et états de produits individuels, titres de recettes ou déclarations en douane ; - extraits de sommiers des droits constatés pour les droits d'enregistrement et de timbre ; - extraits de jugements ou d'arrêts de débet.",pdfs/dahir_1-00-175__loi15-95.pdf
dahir_1-00-175__loi15-95,5,,Titre Premier : Dispositions Générales,Chapitre III : Des modes de recouvrement,,,3,": Les dates de mise en recouvrement et d'exigibilité des rôles d'impôts et taxes doivent être portées à la connaissance des contribuables par tout moyen d'information, notamment par voie d'affichage, à la diligence de l'administration. Les rôles et états de produits doivent être adressés au comptable chargé du recouvrement au moins quinze (15) jours avant leur date de mise en recouvrement. Un avis d'imposition est envoyé par voie postale sous pli fermé et au plus tard à la date de mise en recouvrement à tout contribuable inscrit au rôle ou à l'état de produits à la diligence de l'administration. Cet avis mentionne le montant à payer ainsi que les dates de mise en recouvrement et d'exigibilité.",pdfs/dahir_1-00-175__loi15-95.pdf
dahir_1-00-175__loi15-95,6,,Titre Premier : Dispositions Générales,Chapitre III : Des modes de recouvrement,,,3,": Pour les créances autres que celles émises par voie de rôles ou états de produits et à l'exception de celles confiées aux receveurs des douanes, un avis est adressé au redevable par le comptable chargé du recouvrement. Cet avis précise la nature de la créance, le montant à payer et les dates d'émission et d'exigibilité.",pdfs/dahir_1-00-175__loi15-95.pdf
dahir_1-00-175__loi15-95,7,,Titre Premier : Dispositions Générales,Chapitre III : Des modes de recouvrement,,,3,: Les créances publiques sont recouvrées au vu d'ordres de recette : - soit à l'amiable durant la période comprise entre la date de mise en recouvrement ou d'émission et celle d'exigibilité ; - soit par voie de recouvrement forcé dans les conditions fixées par la présente loi.,pdfs/dahir_1-00-175__loi15-95.pdf
dahir_1-00-175__loi15-95,8,,Titre Premier : Dispositions Générales,Chapitre IV : De la force exécutoire,,,3,": Les rôles d'impôts, les états de produits ainsi que les ordres de recette émis par les receveurs de l'enregistrement au titre de la taxe judiciaire et ceux relatifs aux produits du domaine de l'Etat sont revêtus, dès leur émission, de la formule exécutoire par le ministre chargé des finances ou la personne déléguée par lui à cet effet.",pdfs/dahir_1-00-175__loi15-95.pdf
dahir_1-00-175__loi15-95,9,,Titre Premier : Dispositions Générales,Chapitre IV : De la force exécutoire,,,3,": Les ordres de recette établis au titre des taxes et impôts des collectivités locales et de leurs groupements, ainsi que ceux émis par les établissements publics sont revêtus de la formule exécutoire, dès leur émission, par l'ordonnateur de l'organisme concerné.",pdfs/dahir_1-00-175__loi15-95.pdf
dahir_1-00-175__loi15-95,10,,Titre Premier : Dispositions Générales,Chapitre IV : De la force exécutoire,,,3,": Les extraits de jugements et arrêts se rapportant aux amendes et condamnations pécuniaires, aux dépens et aux frais de justice sont exécutoires dans les conditions fixées à l'article 133 ci-dessous.",pdfs/dahir_1-00-175__loi15-95.pdf
